Metrica,Modelo,media_train,desv_train,med_train,media_val,desv_val,med_val,media_test,desv_test,med_test
accuracy,EfficientNetV2B0,0.9467163978494624,0.07057466091186052,0.9608333333333332,0.8991236559139786,0.06628099982261473,0.9125,0.9000129032258065,0.06549258226474307,0.912
micro_avg_precision,EfficientNetV2B0,0.9467163978494624,0.07057466091186052,0.9608333333333332,0.8991236559139786,0.06628099982261473,0.9125,0.9000129032258065,0.06549258226474307,0.912
micro_avg_recall,EfficientNetV2B0,0.9467163978494624,0.07057466091186052,0.9608333333333332,0.8991236559139786,0.06628099982261473,0.9125,0.9000129032258065,0.06549258226474307,0.912
micro_avg_f1,EfficientNetV2B0,0.9467163978494624,0.07057466091186052,0.9608333333333332,0.8991236559139786,0.06628099982261473,0.9125,0.9000129032258065,0.06549258226474307,0.912
macro_avg_precision,EfficientNetV2B0,0.9505116930092531,0.0627544680638721,0.962426124226606,0.9052908110390585,0.06161900248968194,0.9158588196987264,0.9059264270898767,0.05975325697735818,0.9159371310539716
macro_avg_recall,EfficientNetV2B0,0.9467163978494624,0.07057466091186052,0.9608333333333334,0.8991236559139786,0.06628099982261472,0.9125,0.9000129032258065,0.06549258226474305,0.912
macro_avg_f1,EfficientNetV2B0,0.9460844136164379,0.07664752046044379,0.9608438986455669,0.8985082552576049,0.07255267859634557,0.9130397042619772,0.8993318872210609,0.07218236850825394,0.9116253394782096
accuracy,DenseNet121,0.8805201612903226,0.07348182101898418,0.904375,0.8559408602150539,0.06930095122381125,0.8775,0.855625806451613,0.06948385608261447,0.876
micro_avg_precision,DenseNet121,0.8805201612903226,0.07348182101898418,0.904375,0.8559408602150539,0.06930095122381125,0.8775,0.855625806451613,0.06948385608261447,0.876
micro_avg_recall,DenseNet121,0.8805201612903226,0.07348182101898418,0.904375,0.8559408602150539,0.06930095122381125,0.8775,0.855625806451613,0.06948385608261447,0.876
micro_avg_f1,DenseNet121,0.8805201612903226,0.07348182101898418,0.904375,0.8559408602150539,0.06930095122381125,0.8775,0.855625806451613,0.06948385608261447,0.876
macro_avg_precision,DenseNet121,0.9047715572128794,0.0375402615772972,0.9126194116428687,0.8824317632610338,0.03417686823339071,0.8918131406468823,0.8821351314847118,0.034091436945186834,0.8890763194539316
macro_avg_recall,DenseNet121,0.8805201612903226,0.07348182101898418,0.904375,0.8559408602150539,0.06930095122381123,0.8775000000000001,0.855625806451613,0.06948385608261448,0.8760000000000001
macro_avg_f1,DenseNet121,0.8788890615701425,0.07672014372355113,0.9042950644519476,0.8538413257140215,0.07341126611958836,0.8771227173153834,0.8535739924125336,0.07323985669934617,0.8755920993067419
accuracy,ResNet101V2,0.8298212365591398,0.14255035264282748,0.8858333333333334,0.8001774193548387,0.13339392518989876,0.8508333333333333,0.8011956989247313,0.13394025712149848,0.8526666666666667
micro_avg_precision,ResNet101V2,0.8298212365591398,0.14255035264282748,0.8858333333333334,0.8001774193548387,0.13339392518989876,0.8508333333333333,0.8011956989247313,0.13394025712149848,0.8526666666666667
micro_avg_recall,ResNet101V2,0.8298212365591398,0.14255035264282748,0.8858333333333334,0.8001774193548387,0.13339392518989876,0.8508333333333333,0.8011956989247313,0.13394025712149848,0.8526666666666667
micro_avg_f1,ResNet101V2,0.8298212365591398,0.14255035264282748,0.8858333333333334,0.8001774193548387,0.13339392518989876,0.8508333333333333,0.8011956989247313,0.13394025712149848,0.8526666666666667
macro_avg_precision,ResNet101V2,0.8656943852159377,0.09544410613865048,0.8963958642515344,0.8381426720167988,0.08776496164530688,0.8672083626253004,0.8397108181718984,0.08972272344662961,0.8655904768270741
macro_avg_recall,ResNet101V2,0.8298212365591398,0.14255035264282748,0.8858333333333333,0.8001774193548388,0.1333939251898988,0.8508333333333333,0.8011956989247312,0.13394025712149848,0.8526666666666667
macro_avg_f1,ResNet101V2,0.8254575391403537,0.1538316786801199,0.8857942782309515,0.7953577945123926,0.14503341395775537,0.8495953687612892,0.7966526727489741,0.14557106575315312,0.8486158687453829
